tweet_id,created_at,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56,8853,39467
892177421306343426,2017-08-01 00:17:27,6514,33819
891815181378084864,2017-07-31 00:18:03,4328,25461
891689557279858688,2017-07-30 15:58:51,8964,42908
891327558926688256,2017-07-29 16:00:24,9774,41048
891087950875897856,2017-07-29 00:08:17,3261,20562
890971913173991426,2017-07-28 16:27:12,2158,12041
890729181411237888,2017-07-28 00:22:40,16716,56848
890609185150312448,2017-07-27 16:25:51,4429,28226
890240255349198849,2017-07-26 15:59:51,7711,32467
890006608113172480,2017-07-26 00:31:25,7624,31166
889880896479866881,2017-07-25 16:11:53,5156,28268
889665388333682689,2017-07-25 01:55:32,8538,38818
889638837579907072,2017-07-25 00:10:02,4735,27672
889531135344209921,2017-07-24 17:02:04,2321,15359
889278841981685760,2017-07-24 00:19:32,5637,25652
888917238123831296,2017-07-23 00:22:39,4709,29611
888804989199671297,2017-07-22 16:56:37,4559,26080
888554962724278272,2017-07-22 00:23:06,3732,20290
888078434458587136,2017-07-20 16:49:33,3653,22201
887705289381826560,2017-07-19 16:06:48,5609,30779
887517139158093824,2017-07-19 03:39:09,12082,46959
887473957103951883,2017-07-19 00:47:34,18781,69871
887343217045368832,2017-07-18 16:08:03,10737,34222
887101392804085760,2017-07-18 00:07:08,6167,31061
886983233522544640,2017-07-17 16:17:36,8084,35859
886736880519319552,2017-07-16 23:58:41,3443,12306
886680336477933568,2017-07-16 20:14:00,4610,22798
886366144734445568,2017-07-15 23:25:31,3316,21524
886267009285017600,2017-07-15 16:51:35,4,117
886258384151887873,2017-07-15 16:17:19,6523,28469
886054160059072513,2017-07-15 02:45:48,108,0
885984800019947520,2017-07-14 22:10:11,7097,33382
885528943205470208,2017-07-13 15:58:47,6683,36689
885518971528720385,2017-07-13 15:19:09,3899,20788
885311592912609280,2017-07-13 01:35:06,19297,0
885167619883638784,2017-07-12 16:03:00,4556,22367
884925521741709313,2017-07-12 00:01:00,16439,68152
884876753390489601,2017-07-11 20:47:12,6096,28514
884562892145688576,2017-07-11 00:00:02,5100,24765
884441805382717440,2017-07-10 15:58:53,5856,27478
884247878851493888,2017-07-10 03:08:17,21298,74423
884162670584377345,2017-07-09 21:29:42,3128,20771
883838122936631299,2017-07-09 00:00:04,3586,22349
883482846933004288,2017-07-08 00:28:19,10407,46860
883360690899218434,2017-07-07 16:22:55,3825,22986
883117836046086144,2017-07-07 00:17:54,6949,37914
882992080364220416,2017-07-06 15:58:11,4122,24445
882762694511734784,2017-07-06 00:46:41,5134,28903
882627270321602560,2017-07-05 15:48:34,6342,28382
882268110199369728,2017-07-04 16:01:23,12118,45880
882045870035918850,2017-07-04 01:18:17,5203,29900
881906580714921986,2017-07-03 16:04:48,3533,24773
881666595344535552,2017-07-03 00:11:11,11099,51522
881633300179243008,2017-07-02 21:58:53,7,129
881536004380872706,2017-07-02 15:32:16,16570,50199
881268444196462592,2017-07-01 21:49:04,5358,23501
880935762899988482,2017-06-30 23:47:07,2886,17346
